"key","name","voters","valid","valid_percentage"
161000,"Ingolstadt, Krfr. St",90911,13395,"14,7"
162000,"München, Krfr. St",914258,186906,"20,4"
163000,"Rosenheim, Krfr. St",41139,6944,"16,9"
171111,"Altötting, St",9416,1615,"17,2"
171112,"Burghausen, St",13151,2830,"21,5"
171113,"Burgkirchen a.d.Alz",7361,1134,"15,4"
171114,"Emmerting",3138,578,"18,4"
171115,"Erlbach",956,101,"10,6"
171116,"Feichten a.d.Alz",942,110,"11,7"
171117,"Garching a.d.Alz",6541,1176,"18,0"
171118,"Haiming",2003,444,"22,2"
171119,"Halsbach",723,143,"19,8"
171121,"Kastl",2145,368,"17,2"
171122,"Kirchweidach",1873,345,"18,4"
171123,"Marktl, M",2174,506,"23,3"
171124,"Mehring",1854,319,"17,2"
171125,"Neuötting, St",6307,1290,"20,5"
171126,"Perach",1014,182,"17,9"
171127,"Pleiskirchen",1951,291,"14,9"
171129,"Reischach",2068,328,"15,9"
171130,"Stammham",867,157,"18,1"
171131,"Teising",1454,408,"28,1"
171132,"Töging a.Inn, St",7067,1286,"18,2"
171133,"Tüßling, M",2569,612,"23,8"
171134,"Tyrlaching",782,104,"13,3"
171135,"Unterneukirchen",2389,250,"10,5"
171137,"Winhöring",3775,753,"19,9"
172111,"Ainring",6879,1020,"14,8"
172112,"Anger",3360,527,"15,7"
172114,"Bad Reichenhall, GKSt",12717,2137,"16,8"
172115,"Bayerisch Gmain",2169,416,"19,2"
172116,"Berchtesgaden, M",5484,850,"15,5"
172117,"Bischofswiesen",5813,669,"11,5"
172118,"Freilassing, St",10250,1495,"14,6"
172122,"Laufen, St",4662,1048,"22,5"
172124,"Marktschellenberg, M",1306,176,"13,5"
172128,"Piding",3944,658,"16,7"
172129,"Ramsau b.Berchtesgaden",1300,138,"10,6"
172130,"Saaldorf-Surheim",4102,668,"16,3"
172131,"Schneizlreuth",1005,164,"16,3"
172132,"Schönau a.Königssee",3982,566,"14,2"
172134,"Teisendorf, M",7250,1115,"15,4"
173111,"Bad Heilbrunn",2959,459,"15,5"
173112,"Bad Tölz, St",13222,1936,"14,6"
173113,"Benediktbeuern",2819,711,"25,2"
173115,"Bichl",1690,371,"22,0"
173118,"Dietramszell",4163,616,"14,8"
173120,"Egling",4016,709,"17,7"
173123,"Eurasburg",3226,686,"21,3"
173124,"Gaißach",2456,254,"10,3"
173126,"Geretsried, St",17273,2771,"16,0"
173127,"Greiling",1173,185,"15,8"
173130,"Icking",2671,878,"32,9"
173131,"Jachenau",672,79,"11,8"
173133,"Kochel a.See",3014,638,"21,2"
173134,"Königsdorf",2396,411,"17,2"
173135,"Lenggries",7607,1343,"17,7"
173137,"Münsing",3226,811,"25,1"
173140,"Reichersbeuern",1794,340,"19,0"
173141,"Sachsenkam",1012,144,"14,2"
173142,"Schlehdorf",933,176,"18,9"
173145,"Wackersberg",2729,288,"10,6"
173147,"Wolfratshausen, St",13242,2921,"22,1"
174111,"Altomünster, M",5840,1156,"19,8"
174113,"Bergkirchen",5679,1069,"18,8"
174115,"Dachau, GKSt",30587,6841,"22,4"
174118,"Erdweg",4410,1057,"24,0"
174121,"Haimhausen",3806,1005,"26,4"
174122,"Hebertshausen",4104,986,"24,0"
174126,"Karlsfeld",13124,2975,"22,7"
174131,"Markt Indersdorf, M",7693,1834,"23,8"
