"key","name","voters","valid","valid_percentage"
161,"Ingolstadt, kreisfreie Stadt",90911,13403,"14,70"
162,"München, Landeshauptstadt",914258,187406,"20,50"
163,"Rosenheim, kreisfreie Stadt",41139,6946,"16,90"
171,"Altötting",82520,15343,"18,60"
172,"Berchtesgadener Land",74223,11686,"15,70"
173,"Bad Tölz-Wolfratshausen",92284,16734,"18,10"
174,"Dachau",104846,24042,"22,90"
175,"Ebersberg",99234,22575,"22,70"
176,"Eichstätt",97709,15607,"16,00"
177,"Erding",99233,17244,"17,40"
178,"Freising",120997,22397,"18,50"
179,"Fürstenfeldbruck",153728,39571,"25,70"
180,"Garmisch-Partenkirchen",65283,12643,"19,40"
181,"Landsberg am Lech",90005,22322,"24,80"
182,"Miesbach",72972,13087,"17,90"
183,"Mühldorf a.Inn",85474,14439,"16,90"
184,"München",234932,62338,"26,50"
185,"Neuburg-Schrobenhausen",71773,9868,"13,70"
186,"Pfaffenhofen a.d.Ilm",93043,14215,"15,30"
187,"Rosenheim",194394,37244,"19,20"
188,"Starnberg",96025,26615,"27,70"
189,"Traunstein",133446,23662,"17,70"
190,"Weilheim-Schongau",101828,23584,"23,20"
261,"Landshut, kreisfreie Stadt",49186,9804,"19,90"
262,"Passau, kreisfreie Stadt",38013,6382,"16,80"
263,"Straubing, kreisfreie Stadt",34019,4430,"13,00"
271,"Deggendorf",91860,10774,"11,70"
272,"Freyung-Grafenau",63568,7260,"11,40"
273,"Kelheim",88268,13132,"14,90"
274,"Landshut",118488,18772,"15,80"
275,"Passau",150205,20071,"13,40"
276,"Regen",62156,7424,"11,90"
277,"Rottal-Inn",91898,11861,"12,90"
278,"Straubing-Bogen",77683,9915,"12,80"
279,"Dingolfing-Landau",71168,10388,"14,60"
361,"Amberg, kreisfreie Stadt",32304,4733,"14,70"
362,"Regensburg, kreisfreie Stadt",105836,19149,"18,10"
363,"Weiden i.d.OPf., kreisfreie Stadt",32554,4670,"14,30"
371,"Amberg-Sulzbach",81797,12925,"15,80"
372,"Cham",101883,15574,"15,30"
373,"Neumarkt i.d.OPf.",101251,18199,"18,00"
374,"Neustadt a.d.Waldnaab",75682,10758,"14,20"
375,"Regensburg",147284,23270,"15,80"
376,"Schwandorf",114412,15010,"13,10"
377,"Tirschenreuth",58962,9685,"16,40"
461,"Bamberg, kreisfreie Stadt",55644,11691,"21,00"
462,"Bayreuth, kreisfreie Stadt",57200,11090,"19,40"
463,"Coburg, kreisfreie Stadt",31495,5601,"17,80"
464,"Hof, kreisfreie Stadt",33002,3480,"10,50"
471,"Bamberg",116152,19987,"17,20"
472,"Bayreuth",84194,14219,"16,90"
473,"Coburg",69730,11612,"16,70"
474,"Forchheim",90345,17081,"18,90"
475,"Hof",76796,10654,"13,90"
476,"Kronach",54975,7450,"13,60"
477,"Kulmbach",58971,8992,"15,20"
478,"Lichtenfels",53691,9151,"17,00"
479,"Wunsiedel i.Fichtelgebirge",57998,9202,"15,90"
561,"Ansbach, kreisfreie Stadt",30631,5955,"19,40"
562,"Erlangen, kreisfreie Stadt",76762,19109,"24,90"
563,"Fürth, kreisfreie Stadt",86770,16857,"19,40"
564,"Nürnberg, kreisfreie Stadt",340845,66494,"19,50"
565,"Schwabach, kreisfreie Stadt",29973,6793,"22,70"
571,"Ansbach",140014,26437,"18,90"
572,"Erlangen-Höchstadt",103178,22863,"22,20"
573,"Fürth",91436,23187,"25,40"
574,"Nürnberger Land",129561,29858,"23,00"
575,"Neustadt a.d.Aisch-Bad Windsheim",77278,12879,"16,70"
576,"Roth",97798,20192,"20,60"
577,"Weißenburg-Gunzenhausen",71933,12667,"17,60"
661,"Aschaffenburg, kreisfreie Stadt",49636,7841,"15,80"
662,"Schweinfurt, kreisfreie Stadt",37290,5131,"13,80"
663,"Würzburg, kreisfreie Stadt",98402,20568,"20,90"
671,"Aschaffenburg",132556,25236,"19,00"
672,"Bad Kissingen",83255,13085,"15,70"
673,"Rhön-Grabfeld",64681,10492,"16,20"
674,"Haßberge",67975,10665,"15,70"
675,"Kitzingen",69145,11260,"16,30"
676,"Miltenberg",95371,18246,"19,10"
677,"Main-Spessart",99583,14577,"14,60"
678,"Schweinfurt",91248,16513,"18,10"
679,"Würzburg",126913,25999,"20,50"
761,"Augsburg, kreisfreie Stadt",189077,38907,"20,60"
762,"Kaufbeuren, kreisfreie Stadt",31243,4975,"15,90"
763,"Kempten (Allgäu), kreisfreie Stadt",48412,8250,"17,00"
764,"Memmingen, kreisfreie Stadt",29311,5068,"17,30"
771,"Aichach-Friedberg",100561,20911,"20,80"
772,"Augsburg",187753,41339,"22,00"
773,"Dillingen a.d.Donau",72382,11427,"15,80"
774,"Günzburg",89797,13546,"15,80"
775,"Neu-Ulm",123013,15423,"12,50"
776,"Lindau (Bodensee)",59262,9553,"16,10"
777,"Ostallgäu",105513,17935,"17,00"
778,"Unterallgäu",108270,19917,"18,40"
779,"Donau-Ries",100014,16616,"16,60"
780,"Oberallgäu",118741,21245,"17,90"
