"key","name","voters","valid","valid_percentage","invalid","votes"
"161000","Ingolstadt, krfr. St",90317,2023,"2,20",3,2026
"162000","München, Landeshauptstadt",914399,23273,"2,50",93,23366
"163000","Rosenheim, krfr. St",41512,1029,"2,50",10,1039
"171000","Altötting",82682,1955,"2,40",2,1957
"172000","Berchtesgadener Land",74265,843,"1,10",4,847
"173000","Bad Tölz-Wolfratshausen",91909,2638,"2,90",8,2646
"174000","Dachau",102598,3028,"3,00",8,3036
"175000","Ebersberg",96511,3785,"3,90",2,3787
"176000","Eichstätt",96082,3048,"3,20",14,3062
"177000","Erding",96643,2644,"2,70",4,2648
"178000","Freising",119237,4753,"4,00",9,4762
"179000","Fürstenfeldbruck",154038,7692,"5,00",12,7704
"180000","Garmisch-Partenkirchen",65369,2152,"3,30",4,2156
"181000","Landsberg am Lech",87770,2297,"2,60",13,2310
"182000","Miesbach",72099,1471,"2,00",7,1478
"183000","Mühldorf a.Inn",84419,1615,"1,90",10,1625
"184000","München",232955,9993,"4,30",17,10010
"185000","Neuburg-Schrobenhausen",70756,1395,"2,00",7,1402
"186000","Pfaffenhofen a.d.Ilm",90917,2060,"2,30",6,2066
"187000","Rosenheim",190219,5257,"2,80",15,5272
"188000","Starnberg",95652,5149,"5,40",26,5175
"189000","Traunstein",132504,2392,"1,80",9,2401
"190000","Weilheim-Schongau",100229,3556,"3,50",7,3563
"261000","Landshut, krfr. St",48737,2388,"4,90",4,2392
"262000","Passau, krfr. St",38154,898,"2,40",6,904
"263000","Straubing, krfr. St",34595,1103,"3,20",7,1110
"271000","Deggendorf",91322,2147,"2,40",1,2148
"272000","Freyung-Grafenau",63197,1299,"2,10",1,1300
"273000","Kelheim",87293,2188,"2,50",2,2190
"274000","Landshut",116109,4829,"4,20",11,4840
"275000","Passau",149013,2627,"1,80",8,2635
"276000","Regen",62535,1099,"1,80",2,1101
"277000","Rottal-Inn",91827,1449,"1,60",9,1458
"278000","Straubing-Bogen",76587,2361,"3,10",3,2364
"279000","Dingolfing-Landau",71544,1809,"2,50",0,1809
"361000","Amberg, krfr. St",33076,877,"2,70",0,877
"362000","Regensburg, krfr. St",103075,3059,"3,00",12,3071
"363000","Weiden i.d.OPf., krfr. St",33167,816,"2,50",1,817
"371000","Amberg-Sulzbach",82401,2371,"2,90",7,2378
"372000","Cham",102010,2114,"2,10",9,2123
"373000","Neumarkt i.d.OPf.",99560,2777,"2,80",6,2783
"374000","Neustadt a.d.Waldnaab",76576,2311,"3,00",5,2316
"375000","Regensburg",146051,4635,"3,20",10,4645
"376000","Schwandorf",114299,2088,"1,80",12,2100
"377000","Tirschenreuth",60195,1286,"2,10",7,1293
"461000","Bamberg, krfr. St",54649,2631,"4,80",10,2641
"462000","Bayreuth, krfr. St",56855,1816,"3,20",3,1819
"463000","Coburg, krfr. St",32212,506,"1,60",0,506
"464000","Hof, krfr. St",34075,377,"1,10",0,377
