"key","name","voters","valid","valid_percentage","invalid","votes"
"161","Ingolstadt","81527","2371","2,9","13","2384"
"162","München","823501","47723","5,8","58","47781"
"163","Rosenheim","40335","1776","4,4","1","1777"
"171","Altötting","80795","1037","1,3","1","1038"
"1","Bad Tölz-Wolfratshausen","83906","3594","4,3","14","3608"
"1","Berchtesgadener Land","71523","1821","2,5","2","1823"
"1","Dachau","90843","5231","5,8","7","5238"
"1","Ebersberg","84711","4405","5,2","6","4411"
"1","Eichstätt","85699","2770","3,2","2","2772"
"1","Erding","82316","2554","3,1","3","2557"
"1","Freising","103317","3692","3,6","10","3702"
"1","Fürstenfeldbruck","141468","7866","5,6","20","7886"
"1","Garmisch-Partenkirchen","63624","1572","2,5","13","1585"
"181","Landsberg a.Lech","76073","2305","3","3","2308"
"1","Miesbach","66940","2110","3,2","11","2121"
"1","Mühldorf a.Inn","80424","1340","1,7","6","1346"
"184","München","209251","12124","5,8","26","12150"
"1","Neuburg-Schrobenhausen","65788","1064","1,6","0","1064"
"1","Pfaffenhofen a.d.Ilm","80975","1554","1,9","6","1560"
"187","Rosenheim","169879","6884","4,1","19","6903"
"1","Starnberg","90460","4789","5,3","8","4797"
"1","Traunstein","125033","2816","2,3","7","2823"
"1","Weilheim-Schongau","92108","2601","2,8","8","2609"
"261","Landshut","44502","1188","2,7","0","1188"
"262","Passau","38367","1268","3,3","2","1270"
"263","Straubing","33023","785","2,4","10","795"
"2","Deggendorf","87043","1139","1,3","5","1144"
"2","Dingolfing-Landau","67583","1452","2,1","3","1455"
"2","Freyung-Grafenau","63424","762","1,2","0","762"
"2","Kelheim","80181","1367","1,7","1","1368"
"274","Landshut","104830","1445","1,4","5","1450"
"275","Passau","141896","1987","1,4","1","1988"
"2","Regen","63618","774","1,2","4","778"
"2","Rottal-Inn","89173","1301","1,5","3","1304"
"2","Straubing-Bogen","71004","950","1,3","2","952"
"362","Amberg","33229","973","2,9","0","973"
"362","Regensburg","94089","3717","4","3","3720"
"363","Weiden i.d.OPf.","33606","903","2,7","1","904"
"3","Amberg-Sulzbach","81405","2168","2,7","3","2171"
"3","Cham","99929","1114","1,1","3","1117"
"3","Neumarkt i.d.OPf.","92607","1580","1,7","7","1587"
"3","Neustadt a.d.Waldnaab","76017","1523","2","2","1525"
"375","Regensburg","131899","2850","2,2","2","2852"
"3","Schwandorf","111484","1988","1,8","2","1990"
"3","Tirschenreuth","62532","981","1,6","1","982"
"461","Bamberg","52360","2061","3,9","1","2062"
"462","Bayreuth","56709","1849","3,3","7","1856"
"463","Coburg","32973","1194","3,6","7","1201"
"464","Hof","38308","858","2,2","1","859"
"471","Bamberg","107083","2076","1,9","3","2079"
"472","Bayreuth","84491","1239","1,5","5","1244"
"473","Coburg","70877","1383","2","1","1384"
"474","Forchheim","83331","1545","1,9","4","1549"
"475","Hof","86116","955","1,1","0","955"
"4","Kronach","60417","532","0,9","0","532"
"4","Kulmbach","62449","1321","2,1","4","1325"
"4","Lichtenfels","54686","1076","2","5","1081"
"4","Wunsiedel i.Fichtelgebirge","68127","1059","1,6","2","1061"
"561","Ansbach","30244","960","3,2","2","962"
"562","Erlangen","71751","2831","3,9","4","2835"
"563","Fürth","78025","2341","3","2","2343"
"564","Nürnberg","335594","11820","3,5","43","11863"
"565","Schwabach","28199","781","2,8","7","788"
"571","Ansbach","134876","2226","1,7","3","2229"
"5","Erlangen-Höchstadt","94536","2881","3","9","2890"
"573","Fürth","85085","3705","4,4","23","3728"
"5","Neustadt a.d.Aisch-Bad Windsheim","74394","2113","2,8","9","2122"
"5","Nürnberger Land","125438","3755","3","7","3762"
"5","Roth","92410","1965","2,1","2","1967"
"5","Weißenburg-Gunzenhausen","71683","1796","2,5","1","1797"
"661","Aschaffenburg","47848","796","1,7","2","798"
"662","Schweinfurt","39844","1074","2,7","3","1077"
"663","Würzburg","94683","3931","4,2","2","3933"
"671","Aschaffenburg","128586","1179","0,9","3","1182"
"6","Bad Kissingen","85178","1377","1,6","4","1381"
"6","Haßberge","67539","1169","1,7","2","1171"
"6","Kitzingen","66333","1116","1,7","5","1121"
"6","Main-Spessart","100533","1687","1,7","10","1697"
"6","Miltenberg","93340","850","0,9","2","852"
"6","Rhön-Grabfeld","65052","1053","1,6","9","1062"
"678","Schweinfurt","88869","1622","1,8","4","1626"
"679","Würzburg","119897","3074","2,6","6","3080"
"761","Augsburg","175987","7500","4,3","39","7539"
"762","Kaufbeuren","31100","1323","4,3","1","1324"
"763","Kempten (Allgäu)","45387","2238","4,9","1","2239"
"764","Memmingen","29305","1723","5,9","8","1731"
"771","Aichach-Friedberg","89983","2940","3,3","8","2948"
"772","Augsburg","171880","6623","3,9","11","6634"
"773","Dillingen a.d.Donau","68882","1308","1,9","5","1313"
"7","Donau-Ries","95637","1663","1,7","1","1664"
"7","Günzburg","86446","2031","2,3","0","2031"
"7","Lindau (Bodensee)","54626","1765","3,2","6","1771"
"7","Neu-Ulm","113744","2529","2,2","7","2536"
"7","Oberallgäu","109318","4764","4,4","7","4771"
"7","Ostallgäu","96409","3097","3,2","6","3103"
"7","Unterallgäu","98973","2766","2,8","8","2774"
