"key","name","voters","valid","valid_percentage","invalid","votes"
"161000","Ingolstadt, krfr. St",90062,11918,"13,20",17,11935
"162000","München, Landeshauptstadt",903904,109095,"12,10",247,109342
"163000","Rosenheim, krfr. St",41454,4733,"11,40",7,4740
"171000","Altötting",82861,10735,"13,00",19,10754
"172000","Berchtesgadener Land",74411,6916,"9,30",48,6964
"173000","Bad Tölz-Wolfratshausen",91394,10394,"11,40",129,10523
"174000","Dachau",101161,14169,"14,00",25,14194
"175000","Ebersberg",95599,14515,"15,20",9,14524
"176000","Eichstätt",95646,16446,"17,20",75,16521
"177000","Erding",95369,12550,"13,20",23,12573
"178000","Freising",118972,17819,"15,00",90,17909
"179000","Fürstenfeldbruck",153084,23429,"15,30",43,23472
"180000","Garmisch-Partenkirchen",65215,6609,"10,10",47,6656
"181000","Landsberg am Lech",86753,12096,"13,90",53,12149
"182000","Miesbach",71909,7848,"10,90",33,7881
"183000","Mühldorf a.Inn",84068,9926,"11,80",93,10019
"184000","München",232415,35131,"15,10",119,35250
"185000","Neuburg-Schrobenhausen",70311,9735,"13,80",27,9762
"186000","Pfaffenhofen a.d.Ilm",89991,13418,"14,90",108,13526
"187000","Rosenheim",188498,24061,"12,80",76,24137
"188000","Starnberg",95572,13331,"13,90",51,13382
"189000","Traunstein",131746,17596,"13,40",41,17637
"190000","Weilheim-Schongau",99743,14389,"14,40",40,14429
"261000","Landshut, krfr. St",48369,7529,"15,60",2,7531
"262000","Passau, krfr. St",38039,4921,"12,90",14,4935
"263000","Straubing, krfr. St",34546,4345,"12,60",25,4370
"271000","Deggendorf",91345,10775,"11,80",16,10791
"272000","Freyung-Grafenau",63689,8657,"13,60",34,8691
"273000","Kelheim",86778,11380,"13,10",30,11410
"274000","Landshut",115266,16204,"14,10",154,16358
"275000","Passau",148633,16581,"11,20",28,16609
"276000","Regen",62707,7444,"11,90",33,7477
"277000","Rottal-Inn",91878,9759,"10,60",108,9867
"278000","Straubing-Bogen",76316,10468,"13,70",39,10507
"279000","Dingolfing-Landau",71133,9879,"13,90",13,9892
"361000","Amberg, krfr. St",33265,4619,"13,90",9,4628
"362000","Regensburg, krfr. St",102463,16737,"16,30",25,16762
"363000","Weiden i.d.OPf., krfr. St",33221,5080,"15,30",3,5083
"371000","Amberg-Sulzbach",82489,16083,"19,50",32,16115
"372000","Cham",102005,14311,"14,00",59,14370
"373000","Neumarkt i.d.OPf.",99069,16309,"16,50",55,16364
"374000","Neustadt a.d.Waldnaab",76647,14087,"18,40",55,14142
"375000","Regensburg",145269,21738,"15,00",27,21765
"376000","Schwandorf",114361,17951,"15,70",52,18003
"377000","Tirschenreuth",60532,11033,"18,20",49,11082
"461000","Bamberg, krfr. St",54553,10421,"19,10",44,10465
"462000","Bayreuth, krfr. St",57122,8917,"15,60",3,8920
"463000","Coburg, krfr. St",32365,5372,"16,60",4,5376
"464000","Hof, krfr. St",34390,3564,"10,40",0,3564
"471000","Bamberg",115120,17415,"15,10",41,17456
"472000","Bayreuth",85359,11494,"13,50",34,11528
"473000","Coburg",70817,11957,"16,90",27,11984
"474000","Forchheim",89340,15508,"17,40",40,15548
"475000","Hof",79835,11276,"14,10",25,11301
"476000","Kronach",57178,9544,"16,70",23,9567
"477000","Kulmbach",60511,8314,"13,70",45,8359
"478000","Lichtenfels",54844,8663,"15,80",14,8677
"479000","Wunsiedel i.Fichtelgebirge",61090,9276,"15,20",16,9292
"561000","Ansbach, krfr. St",31210,3752,"12,00",34,3786
"562000","Erlangen, krfr. St",76769,17126,"22,30",52,17178
