Stadt / Gemeinde,Verwaltungseinheit,Gemeindeschlüssel,Bundesland
Aach,Gemeinde,7235001,Rheinland-Pfalz
Aach,Stadt,8335001,Baden-Württemberg
Aachen,Stadt,5334002,Nordrhein-Westfalen
Aalen,Stadt,8136088,Baden-Württemberg
Aarbergen,Gemeinde,6439001,Hessen
Aasbüttel,Gemeinde,1061001,Schleswig-Holstein
Abenberg,Stadt,9576111,Bayern
Abenberger Wald,Gemeindefreies Gebiet,9576451,Bayern
Abensberg,Stadt,9273111,Bayern
Abentheuer,Gemeinde,7134001,Rheinland-Pfalz
Absberg,Gemeinde,9577111,Bayern
Abstatt,Gemeinde,8125001,Baden-Württemberg
Abtsbessingen,Gemeinde,16065001,Thüringen 
Abtsgmünd,Gemeinde,8136002,Baden-Württemberg
Abtsteinach,Gemeinde,6431001,Hessen
Abtswind,Gemeinde,9675111,Bayern
Abtweiler,Gemeinde,7133001,Rheinland-Pfalz
Achberg,Gemeinde,8436001,Baden-Württemberg
Achern,Stadt,8317001,Baden-Württemberg
Achim,Stadt,3361001,Niedersachsen
Achslach,Gemeinde,9276111,Bayern
Achstetten,Gemeinde,8426001,Baden-Württemberg
Acht,Gemeinde,7137001,Rheinland-Pfalz
Achtelsbach,Gemeinde,7134002,Rheinland-Pfalz
Achterwehr,Gemeinde,1058001,Schleswig-Holstein
Achtrup,Gemeinde,1054001,Schleswig-Holstein
Adelberg,Gemeinde,8117001,Baden-Württemberg
Adelebsen,Gemeinde,3152001,Niedersachsen
Adelheidsdorf,Gemeinde,3351001,Niedersachsen
Adelmannsfelden,Gemeinde,8136003,Baden-Württemberg
Adelschlag,Gemeinde,9176111,Bayern
Adelsdorf,Gemeinde,9572111,Bayern
Adelsheim,Stadt,8225001,Baden-Württemberg
Adelshofen,Gemeinde,9179111,Bayern
Adelshofen,Gemeinde,9571111,Bayern
Adelsried,Gemeinde,9772111,Bayern
Adelzhausen,Gemeinde,9771111,Bayern
Adenau,Stadt,7131001,Rheinland-Pfalz
Adenbach,Gemeinde,7336001,Rheinland-Pfalz
Adenbüttel,Gemeinde,3151001,Niedersachsen
Adendorf,Gemeinde,3355001,Niedersachsen
Adenstedt,Gemeinde,3254001,Niedersachsen
Adlkofen,Gemeinde,9274111,Bayern
Admannshagen-Bargeshagen,Gemeinde,13072001,Mecklenburg-Vorpommern
Adorf/Vogtl.,Stadt,14523010,Sachsen
Aebtissinwisch,Gemeinde,1061002,Schleswig-Holstein
Aerzen,Gemeinde,3252001,Niedersachsen
Affalterbach,Gemeinde,8118001,Baden-Württemberg
Affing,Gemeinde,9771112,Bayern
Affinghausen,Gemeinde,3251001,Niedersachsen
Affler,Gemeinde,7232001,Rheinland-Pfalz
Agathenburg,Gemeinde,3359001,Niedersachsen
Agethorst,Gemeinde,1061003,Schleswig-Holstein
Aglasterhausen,Gemeinde,8225002,Baden-Württemberg
Aham,Gemeinde,9274112,Bayern
Ahaus,Stadt,5554004,Nordrhein-Westfalen
Ahausen,Gemeinde,3357001,Niedersachsen
Ahlbeck,Gemeinde,13075001,Mecklenburg-Vorpommern
Ahlden (Aller),Gemeinde,3358001,Niedersachsen
Ahlefeld-Bistensee,Gemeinde,1058175,Schleswig-Holstein
Ahlen,Stadt,5570004,Nordrhein-Westfalen
Ahlerstedt,Gemeinde,3359002,Niedersachsen
Ahlsdorf,Gemeinde,15087010,Sachsen-Anhalt
Ahlstädt,Gemeinde,16069001,Thüringen 
Ahnatal,Gemeinde,6633001,Hessen
Ahneby,Gemeinde,1059102,Schleswig-Holstein
Ahnsbeck,Gemeinde,3351002,Niedersachsen
Ahnsen,Gemeinde,3257001,Niedersachsen
Aholfing,Gemeinde,9278112,Bayern
Aholming,Gemeinde,9271111,Bayern
Ahorn,Gemeinde,8128138,Baden-Württemberg
Ahorn,Gemeinde,9473112,Bayern
Ahorntal,Gemeinde,9472111,Bayern
Ahrbrück,Gemeinde,7131002,Rheinland-Pfalz
Ahrensbök,Gemeinde,1055001,Schleswig-Holstein
Ahrensburg,Stadt,1062001,Schleswig-Holstein
Ahrensfelde,Gemeinde,12060005,Brandenburg
Ahrenshagen-Daskow,Gemeinde,13073001,Mecklenburg-Vorpommern
